school,sex,address,famsize,Pstatus,Mjob,Fjob,reason,guardian,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,G1,G2,G3
GP,M,U,GT3,T,teacher,other,home,mother,no,yes,yes,yes,yes,yes,yes,no,9,9,10
GP,M,U,GT3,T,teacher,other,course,mother,no,no,no,yes,yes,yes,yes,no,11,11,10
GP,F,U,GT3,T,other,other,reputation,mother,no,no,yes,no,yes,yes,yes,yes,11,11,11
GP,M,U,GT3,T,other,other,home,mother,yes,yes,no,yes,yes,no,yes,no,8,8,10
GP,F,U,GT3,T,at_home,other,course,mother,no,yes,no,no,yes,yes,yes,no,5,5,5
GP,M,U,GT3,T,other,services,course,father,yes,yes,yes,yes,no,yes,yes,yes,10,12,12
GP,M,U,GT3,T,other,other,home,mother,yes,no,yes,no,no,yes,yes,no,11,10,11
GP,F,U,LE3,T,services,other,reputation,mother,no,yes,yes,no,yes,yes,yes,no,7,6,6
GP,M,U,LE3,T,services,services,home,mother,no,no,yes,yes,yes,yes,yes,no,15,15,15
GP,F,U,GT3,T,other,other,home,father,no,yes,no,yes,no,yes,yes,no,9,10,10
GP,F,U,GT3,T,services,services,reputation,father,no,no,yes,no,yes,yes,yes,yes,7,9,8
GP,F,U,LE3,T,at_home,other,course,mother,no,yes,no,no,yes,yes,no,no,8,7,6
GP,F,U,GT3,T,other,other,reputation,mother,no,yes,no,yes,yes,yes,yes,no,13,14,14
GP,M,U,GT3,T,services,other,reputation,father,no,no,yes,yes,no,yes,yes,no,11,10,10
GP,M,U,LE3,A,teacher,health,reputation,mother,no,yes,no,no,yes,yes,no,no,8,6,7
GP,F,U,GT3,T,other,other,home,mother,no,yes,yes,no,yes,yes,yes,yes,7,7,8
GP,F,U,GT3,T,services,other,reputation,mother,no,no,yes,yes,yes,yes,yes,no,16,17,18
GP,F,U,LE3,T,other,other,home,father,yes,yes,no,no,yes,yes,no,no,7,6,6
GP,F,U,GT3,T,teacher,services,home,mother,no,yes,yes,yes,yes,yes,yes,no,11,10,10
GP,M,U,LE3,T,services,health,reputation,mother,no,yes,no,yes,yes,yes,yes,no,11,13,14
GP,F,R,GT3,T,at_home,other,home,mother,yes,yes,yes,yes,yes,yes,yes,no,7,10,10
GP,M,R,GT3,T,services,other,reputation,mother,yes,yes,no,yes,no,yes,yes,no,11,15,15
GP,F,U,GT3,T,other,other,course,mother,no,yes,yes,no,yes,yes,no,yes,8,9,10
GP,F,U,GT3,T,other,other,reputation,mother,no,no,no,yes,no,yes,yes,no,11,14,14
GP,F,U,GT3,T,other,at_home,course,mother,yes,yes,yes,no,yes,yes,yes,no,7,9,8
GP,M,U,GT3,T,services,services,other,mother,yes,yes,yes,yes,yes,yes,yes,no,7,7,5
GP,M,U,GT3,T,services,teacher,other,father,no,yes,no,yes,yes,yes,yes,yes,16,17,17
GP,M,U,GT3,T,services,other,course,mother,no,yes,no,yes,no,yes,yes,no,10,13,14
GP,F,U,GT3,T,services,other,home,mother,yes,yes,yes,no,yes,yes,yes,no,7,6,6
GP,M,U,GT3,A,services,other,course,mother,no,yes,yes,yes,yes,yes,yes,no,16,18,18
GP,F,U,GT3,A,other,health,reputation,father,yes,no,no,no,yes,yes,no,no,10,11,11
GP,F,U,GT3,T,other,other,course,mother,yes,yes,yes,no,yes,yes,yes,no,7,8,8
GP,M,U,GT3,T,services,other,home,father,no,yes,no,yes,yes,yes,yes,no,16,18,18
GP,M,R,GT3,T,other,other,home,father,no,yes,yes,yes,yes,yes,yes,yes,10,13,13
GP,F,U,LE3,T,health,health,other,mother,no,yes,yes,yes,yes,yes,yes,yes,14,15,16
GP,M,U,LE3,A,teacher,teacher,course,mother,no,no,no,yes,yes,yes,yes,no,18,19,19
GP,F,R,GT3,T,services,other,reputation,father,yes,yes,no,yes,yes,yes,yes,no,7,10,10
GP,F,U,GT3,T,at_home,other,home,mother,yes,no,no,yes,yes,yes,yes,no,10,13,13
GP,M,U,LE3,T,teacher,other,course,mother,no,no,no,no,yes,yes,yes,no,18,19,19
GP,M,R,GT3,T,health,services,reputation,mother,no,no,no,yes,yes,yes,yes,yes,9,9,9
GP,M,U,GT3,T,teacher,teacher,course,father,no,yes,no,yes,yes,yes,yes,no,15,15,16
GP,M,U,GT3,T,other,teacher,reputation,father,no,yes,no,yes,yes,yes,no,no,11,13,14
GP,M,U,GT3,T,other,services,home,father,no,no,no,yes,yes,yes,yes,no,13,14,13
GP,M,R,GT3,T,other,other,course,father,no,yes,no,yes,yes,yes,yes,no,9,7,8
GP,M,U,GT3,T,other,other,reputation,father,no,no,no,no,yes,yes,yes,no,14,13,13
GP,F,U,GT3,T,at_home,services,course,mother,no,no,no,no,no,yes,yes,no,16,15,15
GP,M,U,GT3,T,services,services,home,father,no,yes,yes,yes,yes,yes,yes,no,16,14,15
GP,F,U,LE3,T,other,health,course,father,no,yes,yes,yes,yes,yes,yes,yes,13,13,13
GP,M,U,GT3,T,health,other,course,mother,no,yes,no,yes,yes,yes,yes,no,14,11,13
GP,F,U,GT3,T,other,other,home,mother,no,no,yes,no,yes,yes,yes,yes,8,7,8
GP,M,U,GT3,T,services,services,home,father,yes,no,no,no,yes,yes,yes,no,13,13,12
GP,F,U,LE3,A,other,other,home,mother,yes,no,no,yes,yes,yes,yes,yes,7,10,11
GP,F,U,GT3,T,at_home,other,course,other,no,yes,no,no,no,no,no,no,7,8,9
GP,M,R,GT3,T,services,other,reputation,mother,no,yes,no,yes,yes,yes,yes,no,7,4,0
GP,M,R,GT3,T,teacher,teacher,course,mother,no,no,yes,yes,yes,yes,yes,no,18,18,18
GP,F,R,GT3,T,services,teacher,course,father,no,yes,no,no,yes,yes,yes,yes,12,0,0
GP,F,U,GT3,T,at_home,other,course,mother,no,yes,no,yes,no,yes,yes,yes,8,0,0
GP,F,U,LE3,T,other,other,course,father,no,yes,no,no,yes,yes,yes,yes,10,13,12
GP,F,U,GT3,A,services,other,course,father,no,no,no,no,yes,yes,yes,no,12,11,11
GP,M,R,GT3,T,at_home,teacher,course,mother,no,yes,no,no,yes,yes,no,yes,9,0,0
GP,F,U,GT3,T,services,at_home,course,mother,no,yes,no,yes,yes,yes,yes,yes,11,0,0
GP,M,R,GT3,T,at_home,other,course,mother,no,no,no,no,yes,yes,no,no,10,0,0
GP,F,U,GT3,A,other,other,course,other,no,yes,no,yes,no,yes,yes,yes,4,0,0
GP,M,U,LE3,T,services,other,course,mother,no,no,no,no,yes,yes,no,yes,14,12,12
GP,F,U,GT3,T,teacher,teacher,course,mother,no,no,no,yes,yes,yes,yes,no,16,16,15
GP,M,U,GT3,T,teacher,services,course,father,yes,yes,no,no,yes,yes,yes,no,7,9,0
GP,M,U,LE3,T,services,services,reputation,father,no,yes,no,yes,yes,yes,yes,no,9,9,9
GP,F,U,GT3,T,teacher,services,course,mother,no,yes,yes,yes,yes,yes,yes,no,9,11,11
GP,F,U,LE3,T,at_home,at_home,course,mother,no,no,no,no,yes,yes,yes,no,14,14,13
GP,M,U,GT3,T,other,other,home,mother,no,yes,no,no,yes,yes,yes,no,5,0,0
GP,F,U,GT3,T,other,services,course,father,no,yes,yes,no,yes,yes,yes,no,8,11,11
GP,F,U,GT3,T,health,services,home,father,no,yes,no,no,yes,yes,yes,no,6,7,0
GP,F,U,GT3,T,at_home,other,course,mother,no,yes,yes,no,no,yes,yes,no,10,11,11
GP,M,U,GT3,T,teacher,teacher,course,mother,no,yes,no,no,yes,no,yes,yes,7,6,0
GP,M,U,LE3,A,services,other,course,mother,no,no,no,no,yes,yes,yes,no,8,9,10
GP,M,U,LE3,T,other,other,course,mother,no,no,no,no,yes,no,yes,yes,6,5,0
GP,M,U,LE3,T,at_home,other,course,mother,no,no,no,yes,yes,yes,no,yes,12,13,14
GP,F,R,GT3,T,services,services,reputation,other,no,yes,yes,yes,yes,yes,yes,yes,10,10,10
GP,M,U,GT3,T,services,at_home,home,mother,no,yes,no,no,yes,no,yes,yes,5,0,0
GP,F,U,GT3,T,other,teacher,course,mother,yes,yes,no,no,yes,yes,no,yes,11,11,12
GP,M,R,GT3,T,at_home,services,course,mother,yes,no,yes,yes,yes,yes,no,no,11,8,8
GP,M,R,LE3,T,other,other,reputation,mother,no,no,no,no,yes,yes,no,no,16,12,13
GP,F,R,GT3,T,at_home,other,course,mother,no,yes,no,yes,no,yes,no,no,9,8,10
GP,M,R,GT3,T,at_home,other,course,mother,no,no,no,no,no,yes,no,no,17,15,15
GP,M,U,GT3,T,other,services,course,father,no,yes,yes,no,yes,yes,yes,yes,10,12,12
GP,M,R,LE3,T,at_home,other,course,mother,no,no,no,yes,yes,no,yes,yes,7,6,0
GP,M,R,GT3,T,other,other,course,mother,yes,yes,no,no,yes,yes,yes,yes,5,9,7
GP,M,U,LE3,T,other,other,course,mother,no,no,no,yes,yes,yes,no,no,7,0,0
GP,M,U,GT3,T,at_home,services,course,father,no,no,no,no,yes,no,yes,no,10,10,10
GP,M,R,LE3,T,other,services,course,mother,no,no,no,yes,yes,no,no,yes,5,8,7
GP,M,U,GT3,T,services,services,course,mother,no,yes,no,yes,no,no,no,no,12,11,12
GP,M,U,GT3,T,other,other,course,father,no,no,no,no,yes,no,yes,no,10,10,10
GP,F,U,GT3,T,health,services,home,father,no,no,yes,no,yes,yes,yes,yes,14,15,16
GP,F,U,GT3,T,other,other,home,mother,no,yes,yes,no,no,yes,yes,no,6,7,0
GP,F,U,GT3,T,health,health,reputation,mother,no,yes,yes,no,yes,yes,yes,yes,14,14,14
GP,M,U,GT3,T,other,other,course,father,no,yes,no,yes,no,yes,yes,no,6,5,0
GP,M,U,GT3,T,other,other,reputation,mother,no,yes,yes,yes,yes,yes,yes,yes,13,15,16
GP,M,U,LE3,T,teacher,other,reputation,mother,no,yes,yes,yes,yes,yes,yes,no,13,11,10
GP,F,U,GT3,T,at_home,services,home,mother,no,no,no,yes,no,yes,yes,yes,8,7,0
GP,F,U,LE3,T,other,other,reputation,mother,no,yes,yes,yes,yes,yes,yes,no,10,11,9
GP,M,U,LE3,T,teacher,other,course,mother,no,no,yes,yes,yes,yes,yes,no,10,9,9
GP,F,U,GT3,T,services,other,reputation,mother,no,no,yes,yes,no,yes,yes,no,13,13,11
GP,M,U,GT3,T,other,other,reputation,father,no,no,no,yes,no,yes,yes,no,6,5,6
GP,M,R,GT3,T,teacher,services,other,mother,no,yes,no,yes,yes,yes,yes,yes,10,8,9
GP,M,U,GT3,T,other,other,course,mother,no,yes,no,yes,yes,yes,yes,yes,10,10,11
GP,M,U,GT3,T,teacher,other,home,mother,no,yes,yes,yes,yes,yes,yes,no,9,8,8
GP,M,U,GT3,T,services,other,home,mother,no,no,yes,yes,yes,yes,yes,yes,12,13,12
GP,F,U,GT3,T,services,services,reputation,father,no,yes,no,yes,yes,yes,no,no,16,17,17
GP,F,U,LE3,T,other,other,reputation,mother,no,yes,no,yes,yes,yes,yes,yes,9,9,8
GP,F,U,GT3,T,other,other,reputation,mother,no,yes,yes,no,yes,yes,yes,no,12,13,12
GP,M,U,GT3,T,services,services,other,mother,no,yes,no,yes,yes,yes,yes,yes,12,12,11
GP,M,U,GT3,T,services,services,other,mother,no,yes,yes,yes,yes,yes,yes,yes,11,12,11
GP,M,U,LE3,T,other,other,course,mother,no,no,yes,yes,yes,yes,yes,yes,15,15,15
GP,F,U,GT3,A,health,other,reputation,mother,no,yes,no,no,no,yes,yes,yes,8,7,9
GP,M,R,GT3,T,at_home,other,home,mother,no,no,no,no,yes,yes,no,no,8,9,10
GP,F,U,GT3,T,services,services,course,mother,no,no,no,no,yes,yes,yes,no,11,12,13
GP,F,U,GT3,T,at_home,services,course,mother,no,no,no,yes,yes,yes,yes,no,8,8,9
GP,M,U,GT3,T,at_home,services,other,other,no,no,yes,yes,no,yes,yes,no,7,8,8
GP,M,R,GT3,T,services,services,reputation,mother,no,yes,no,yes,yes,yes,yes,no,8,9,10
GP,M,U,GT3,T,other,other,home,father,no,no,no,no,yes,yes,yes,no,13,14,14
GP,F,U,LE3,T,services,services,course,father,no,no,no,yes,yes,yes,yes,yes,14,15,15
GP,M,U,GT3,T,services,teacher,home,mother,no,no,no,no,yes,yes,yes,no,17,15,16
GP,M,R,LE3,T,teacher,other,home,father,no,yes,yes,yes,yes,yes,yes,no,9,9,10
GP,F,U,GT3,T,services,teacher,home,mother,no,yes,no,no,yes,yes,yes,no,18,18,18
GP,F,U,LE3,T,teacher,teacher,reputation,mother,no,yes,yes,no,yes,yes,yes,no,9,9,10
GP,F,U,GT3,T,health,other,home,mother,no,yes,no,yes,yes,yes,yes,no,16,16,16
GP,F,U,GT3,T,other,other,reputation,mother,yes,yes,yes,yes,yes,yes,no,no,8,10,10
GP,F,U,GT3,T,other,other,course,mother,no,yes,yes,no,no,yes,no,no,9,9,10
GP,F,R,GT3,T,other,other,reputation,mother,no,yes,no,no,yes,yes,yes,no,7,6,6
GP,F,R,GT3,T,services,services,reputation,mother,no,yes,yes,yes,no,yes,yes,no,10,10,11
GP,F,U,GT3,T,at_home,services,home,mother,no,yes,yes,no,yes,yes,yes,yes,10,9,9
GP,F,U,GT3,A,services,other,course,mother,no,yes,yes,no,yes,yes,yes,no,7,7,7
GP,F,U,GT3,T,teacher,other,other,mother,no,no,yes,yes,yes,yes,yes,yes,11,12,13
GP,F,U,GT3,T,at_home,other,home,mother,no,yes,yes,no,yes,yes,no,no,9,9,10
GP,F,R,GT3,T,teacher,other,reputation,mother,no,yes,yes,yes,yes,yes,yes,yes,7,7,7
GP,F,U,GT3,T,other,other,reputation,other,no,yes,yes,yes,yes,yes,yes,no,8,8,8
GP,M,U,LE3,T,services,other,home,mother,no,yes,yes,no,yes,yes,yes,yes,12,12,13
GP,F,U,GT3,A,other,other,reputation,mother,yes,yes,yes,no,yes,yes,yes,no,12,13,14
GP,M,U,GT3,T,services,other,home,mother,no,yes,yes,yes,yes,yes,yes,no,6,7,8
GP,F,R,LE3,T,services,other,other,mother,no,yes,yes,no,yes,yes,no,no,8,10,10
GP,F,U,LE3,T,other,other,reputation,mother,no,no,yes,no,yes,yes,yes,no,14,15,15
GP,F,U,GT3,T,other,other,reputation,mother,no,no,yes,no,yes,yes,yes,yes,6,6,4
GP,M,U,LE3,T,services,health,home,father,no,yes,yes,no,yes,yes,yes,no,6,6,8
GP,F,U,GT3,T,at_home,other,home,father,no,yes,yes,no,yes,yes,no,no,7,7,8
GP,F,U,GT3,T,at_home,at_home,course,mother,no,yes,yes,yes,yes,yes,yes,no,9,10,10
GP,F,R,GT3,T,at_home,services,reputation,mother,no,yes,no,yes,yes,yes,yes,no,6,6,6
GP,F,U,GT3,T,at_home,other,reputation,mother,no,yes,no,yes,yes,yes,no,yes,6,5,0
GP,F,U,GT3,T,services,teacher,other,mother,yes,no,no,no,yes,yes,yes,no,16,16,17
GP,M,U,GT3,T,other,other,home,mother,no,yes,yes,no,yes,yes,yes,no,12,13,13
GP,F,U,GT3,T,teacher,services,home,mother,no,yes,no,yes,no,yes,yes,no,13,13,14
GP,F,R,GT3,T,other,other,reputation,mother,no,no,no,yes,yes,yes,yes,yes,9,8,7
GP,F,U,GT3,T,other,other,course,mother,no,no,no,yes,no,yes,yes,no,16,15,15
GP,M,U,LE3,T,services,services,reputation,father,no,yes,yes,no,no,yes,yes,no,12,11,12
GP,M,U,LE3,T,at_home,other,course,mother,yes,yes,yes,yes,yes,yes,yes,yes,10,8,9
GP,F,U,GT3,A,other,other,course,mother,no,no,no,yes,yes,yes,yes,yes,12,10,12
GP,F,U,LE3,T,health,other,reputation,father,no,no,no,yes,yes,yes,yes,yes,13,13,14
GP,M,R,GT3,T,other,other,course,father,no,yes,yes,yes,yes,yes,yes,no,11,11,11
GP,M,U,GT3,T,teacher,teacher,reputation,mother,yes,yes,no,yes,yes,yes,yes,yes,11,9,9
GP,M,U,GT3,T,health,other,reputation,father,no,yes,yes,yes,yes,yes,yes,no,14,13,13
GP,M,U,LE3,T,other,other,home,mother,no,yes,yes,no,yes,yes,yes,no,9,7,6
GP,M,U,GT3,T,at_home,other,reputation,mother,no,no,no,yes,yes,yes,yes,yes,11,9,10
GP,M,U,LE3,T,other,other,home,father,no,no,yes,yes,no,yes,yes,yes,14,13,13
GP,F,U,GT3,T,other,other,home,mother,no,no,no,no,yes,yes,yes,yes,13,12,12
GP,F,R,GT3,T,at_home,services,course,mother,no,no,no,yes,yes,yes,no,no,13,11,11
GP,M,U,GT3,T,other,services,reputation,father,no,no,no,no,yes,no,yes,no,7,7,0
GP,M,U,LE3,T,health,other,course,mother,no,no,no,yes,yes,yes,yes,yes,12,12,12
GP,M,R,LE3,A,teacher,other,course,mother,no,yes,yes,no,yes,yes,yes,no,10,11,12
GP,M,U,LE3,T,teacher,other,course,mother,no,no,no,yes,no,yes,yes,no,6,0,0
GP,M,U,GT3,T,services,services,course,mother,no,no,no,yes,yes,yes,yes,no,13,12,12
GP,F,U,GT3,T,other,other,course,other,no,yes,yes,no,no,yes,yes,yes,7,0,0
GP,M,U,GT3,T,other,other,course,mother,no,no,no,no,yes,yes,yes,no,18,18,18
GP,M,U,GT3,T,other,other,course,father,no,no,no,no,yes,yes,yes,no,12,12,13
GP,M,U,GT3,T,services,services,other,mother,no,no,no,no,no,no,yes,yes,6,8,8
GP,M,R,LE3,T,other,services,course,mother,no,yes,no,no,yes,yes,yes,yes,3,5,5
GP,M,U,GT3,T,other,other,other,mother,no,no,yes,no,no,yes,yes,no,13,15,15
GP,M,U,GT3,T,services,other,course,mother,no,no,no,no,yes,no,yes,no,6,8,8
GP,M,U,GT3,T,at_home,other,reputation,other,yes,yes,no,no,no,yes,yes,no,7,10,10
GP,M,U,GT3,T,services,services,other,mother,no,no,no,no,no,no,yes,no,6,9,8
GP,M,R,GT3,T,other,other,course,mother,no,no,no,yes,no,yes,no,no,8,9,8
GP,M,R,GT3,T,other,other,course,mother,no,no,no,no,no,yes,yes,no,8,12,12
GP,M,U,LE3,T,health,other,course,mother,no,yes,no,yes,yes,yes,yes,no,7,9,8
GP,F,U,LE3,T,teacher,services,reputation,mother,no,yes,yes,yes,yes,yes,yes,no,14,12,13
GP,M,U,LE3,A,services,at_home,reputation,mother,no,yes,no,no,yes,yes,yes,no,11,11,11
GP,M,U,GT3,T,other,other,home,mother,no,no,no,yes,yes,yes,yes,no,15,14,14
GP,F,U,LE3,T,services,services,course,father,no,no,yes,yes,yes,yes,yes,yes,10,9,0
GP,F,U,GT3,T,services,other,home,father,no,yes,yes,no,yes,yes,yes,yes,17,18,18
GP,M,U,GT3,T,teacher,other,course,mother,no,yes,yes,no,no,yes,yes,no,8,8,8
GP,M,R,GT3,T,other,other,course,mother,no,no,no,yes,no,yes,no,no,13,12,12
GP,F,U,GT3,T,other,other,home,mother,no,no,no,yes,no,yes,no,no,10,9,9
GP,F,U,GT3,T,at_home,services,home,mother,no,yes,yes,yes,yes,yes,yes,yes,9,10,0
GP,M,R,LE3,A,other,other,reputation,mother,no,yes,yes,yes,yes,yes,yes,no,17,17,17
GP,M,U,GT3,T,services,other,other,mother,no,no,yes,yes,yes,yes,yes,yes,9,9,10
GP,F,R,GT3,T,teacher,other,reputation,mother,no,no,yes,yes,yes,yes,yes,no,12,10,11
GP,M,U,GT3,T,health,other,reputation,father,no,yes,yes,yes,yes,yes,yes,yes,10,9,10
GP,F,R,GT3,T,other,other,reputation,mother,no,yes,no,no,yes,no,yes,yes,6,0,0
GP,F,U,GT3,T,other,services,home,other,no,yes,yes,yes,yes,yes,yes,no,9,9,9
GP,F,U,GT3,T,other,services,reputation,father,no,yes,yes,yes,yes,yes,yes,yes,15,14,14
GP,F,U,LE3,T,other,other,home,mother,no,yes,yes,no,no,yes,no,no,11,11,11
GP,M,R,GT3,T,at_home,at_home,home,mother,no,yes,yes,yes,no,yes,no,yes,15,14,14
GP,F,U,GT3,T,at_home,health,reputation,mother,no,yes,yes,no,yes,yes,yes,yes,10,10,10
GP,F,U,LE3,T,services,other,course,mother,yes,yes,yes,no,yes,yes,yes,yes,12,12,12
GP,F,R,GT3,A,other,services,home,mother,no,no,no,no,no,no,yes,yes,10,9,9
GP,M,U,GT3,T,teacher,services,home,mother,no,no,yes,yes,yes,yes,yes,no,9,9,9
